Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,146,1401,148 DUANE STREET  #C,10013,220485,2C,R8,2017,Nonfiler,982021,200289,40.716424,-74.008041,101,1,33,1077207,1001467505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,147,14,141 WEST BROADWAY,10013,273150,4,O2,2017,Nonfiler,981998,200462,40.716899,-74.008124,101,1,33,1001614,1001470014,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,147,1101,68 THOMAS STREET  #COMM,10013,204199,2C,R8,2017,Nonfiler,982149,200477,40.71694,-74.007579,101,1,33,1001616,1001477504,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,147,1201,143 DUANE STREET  #1Comm,10013,208902,2C,R8,2017,Nonfiler,982050,200278,40.716394,-74.007936,101,1,33,1001608,1001477502,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,147,1251,129 DUANE STREET  #1DCOM,10013,177647,2C,R8,2017,Nonfiler,982209,200182,40.71613,-74.007363,101,1,33,1001605,1001477505,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,149,14,99 CHAMBERS STREET,10007,2844900,2,D7,2017,Nonfiler,982140,199692,40.714785,-74.007611,101,1,21,1001631,1001490014,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,150,1001,70 READE STREET  #1,10007,2844000,4,RK,2017,Nonfiler,982370,199805,40.715095,-74.006782,101,1,33,1001640,1001507501,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,150,1002,70 READE STREET  #2,10007,297000,4,RK,2017,Nonfiler,982370,199805,40.715095,-74.006782,101,1,33,1001640,1001507501,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,150,1201,106 DUANE STREET  #COM,10007,493005,2C,R8,2017,Nonfiler,982547,199973,40.715557,-74.006143,101,1,33,1001646,1001507503,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,162,13,24 MOTT STREET,10013,567900,2,C7,2017,Nonfiler,984593,199542,40.714374,-73.998763,103,1,29,1001690,1001620013,Chinatown
